Birne,Banane,Birne,DEF,Birne,Davon hat Jan die Birne bekommen.,DEF_felicitous,stimuli//pear.bmp,stimuli//banana.bmp,stimuli//pear.bmp,3,1
Birne,Banane,Banane,DEF,Banane,Davon hat Jan die Banane bekommen.,DEF_infelicitous,stimuli//pear.bmp,stimuli//banana.bmp,stimuli//banana.bmp,5,2
Birne,Banane,Birne,INDEF,Birne,Davon hat Jan eine Birne bekommen.,INDEF_infelicitous,stimuli//pear.bmp,stimuli//banana.bmp,stimuli//pear.bmp,6,3
Birne,Banane,Banane,INDEF,Banane,Davon hat Jan eine Banane bekommen.,INDEF_felicitous,stimuli//pear.bmp,stimuli//banana.bmp,stimuli//banana.bmp,4,4
Birne,Banane,Birne,DEF,Banane,Davon hat Jan die Banane bekommen.,DEF_false,stimuli//pear.bmp,stimuli//banana.bmp,stimuli//pear.bmp,1,5
Birne,Banane,Banane,DEF,Birne,Davon hat Jan die Birne bekommen.,DEF_false,stimuli//pear.bmp,stimuli//banana.bmp,stimuli//banana.bmp,1,6
Birne,Banane,Birne,INDEF,Banane,Davon hat Jan eine Banane bekommen.,INDEF_false,stimuli//pear.bmp,stimuli//banana.bmp,stimuli//pear.bmp,2,7
Birne,Banane,Banane,INDEF,Birne,Davon hat Jan eine Birne bekommen.,INDEF_false,stimuli//pear.bmp,stimuli//banana.bmp,stimuli//banana.bmp,2,8
Erdbeere,Banane,Erdbeere,DEF,Erdbeere,Davon hat Jan die Erdbeere bekommen.,DEF_felicitous,stimuli//strawberry.bmp,stimuli//banana.bmp,stimuli//strawberry.bmp,3,9
Erdbeere,Banane,Banane,DEF,Banane,Davon hat Jan die Banane bekommen.,DEF_infelicitous,stimuli//strawberry.bmp,stimuli//banana.bmp,stimuli//banana.bmp,5,10
Erdbeere,Banane,Erdbeere,INDEF,Erdbeere,Davon hat Jan eine Erdbeere bekommen.,INDEF_infelicitous,stimuli//strawberry.bmp,stimuli//banana.bmp,stimuli//strawberry.bmp,6,11
Erdbeere,Banane,Banane,INDEF,Banane,Davon hat Jan eine Banane bekommen.,INDEF_felicitous,stimuli//strawberry.bmp,stimuli//banana.bmp,stimuli//banana.bmp,4,12
Erdbeere,Banane,Erdbeere,DEF,Banane,Davon hat Jan die Banane bekommen.,DEF_false,stimuli//strawberry.bmp,stimuli//banana.bmp,stimuli//strawberry.bmp,1,13
Erdbeere,Banane,Banane,DEF,Erdbeere,Davon hat Jan die Erdbeere bekommen.,DEF_false,stimuli//strawberry.bmp,stimuli//banana.bmp,stimuli//banana.bmp,1,14
Erdbeere,Banane,Erdbeere,INDEF,Banane,Davon hat Jan eine Banane bekommen.,INDEF_false,stimuli//strawberry.bmp,stimuli//banana.bmp,stimuli//strawberry.bmp,2,15
Erdbeere,Banane,Banane,INDEF,Erdbeere,Davon hat Jan eine Erdbeere bekommen.,INDEF_false,stimuli//strawberry.bmp,stimuli//banana.bmp,stimuli//banana.bmp,2,16
Ananas,Banane,Ananas,DEF,Ananas,Davon hat Jan die Ananas bekommen.,DEF_felicitous,stimuli//pineapple.bmp,stimuli//banana.bmp,stimuli//pineapple.bmp,3,17
